date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-04-21 01:00:00,Sporting Kansas City,Vancouver Whitecaps,6,0,-1,2.08,1.85,+2.5,1.98,1.92
2018-04-21 17:00:00,Club de Foot Montreal,Los Angeles FC,3,5,-0.25,2.0700000000000003,1.85,+2.75,1.83,2.08
2018-04-21 19:00:00,Houston Dynamo,Toronto FC,5,1,-1.5,1.94,1.98,+3,1.9300000000000002,1.97
2018-04-21 19:30:00,New York Red Bulls,Chicago Fire,1,2,-1.25,1.9300000000000002,1.99,+3.25,2.02,1.88
2018-04-21 23:30:00,Columbus Crew,New England Revolution,2,2,-0.75,1.94,1.98,+3,2.0700000000000003,1.83
2018-04-21 23:30:00,Orlando City,San Jose Earthquakes,3,2,-0.75,1.96,1.96,+3,1.95,1.95
2018-04-22 00:00:00,FC Dallas,Philadelphia Union,2,0,-1,1.96,1.96,+2.75,2.0,1.9
2018-04-22 01:00:00,Real Salt Lake,Colorado Rapids,3,0,-0.75,2.08,1.85,+2.5,1.85,2.05
2018-04-22 02:30:00,Los Angeles Galaxy,Atlanta Utd,0,2,-0.25,1.88,2.04,+3.25,2.06,1.8399999999999999
2018-04-22 20:00:00,Seattle Sounders,Minnesota United,3,1,-1.5,2.02,1.9,+3,1.9300000000000002,1.97
2018-04-22 22:00:00,Portland Timbers,New York City,3,0,-0.25,1.97,1.95,+3,1.8599999999999999,2.04
2018-04-28 02:30:00,Vancouver Whitecaps,Real Salt Lake,2,0,-0.5,2.09,1.83,+2.75,1.95,1.95
2018-04-28 17:00:00,Atlanta Utd,Club de Foot Montreal,4,1,-1.75,1.98,1.94,+3.5,1.96,1.94
2018-04-28 19:00:00,Toronto FC,Chicago Fire,2,2,-1,2.05,1.87,+3,2.06,1.8399999999999999
2018-04-28 19:30:00,Philadelphia Union,DC United,3,2,-0.75,1.9300000000000002,1.99,+2.75,1.9300000000000002,1.97
2018-04-28 23:30:00,New England Revolution,Sporting Kansas City,1,0,-0.25,1.85,2.08,+2.5,1.85,2.06
2018-04-28 23:30:00,Columbus Crew,San Jose Earthquakes,2,1,-1,1.83,2.1,+3,1.88,2.02
2018-04-29 00:00:00,Minnesota United,Houston Dynamo,2,1,0,2.01,1.9100000000000001,+3,1.94,1.96
2018-04-29 02:30:00,Los Angeles Galaxy,New York Red Bulls,2,3,0,1.9100000000000001,2.01,+3,1.9300000000000002,1.97
2018-04-29 20:00:00,Colorado Rapids,Orlando City,1,2,-0.5,1.9300000000000002,1.99,+2.75,1.95,1.95
2018-04-29 22:30:00,New York City,FC Dallas,3,1,-0.75,1.9300000000000002,1.99,+3,2.02,1.88
2018-04-30 01:00:00,Los Angeles FC,Seattle Sounders,1,0,-0.75,2.0300000000000002,1.8900000000000001,+3,1.83,2.0700000000000003
2018-05-05 00:00:00,Toronto FC,Philadelphia Union,3,0,-1,1.8599999999999999,2.04,+3,1.92,1.96
2018-05-05 17:00:00,Club de Foot Montreal,New England Revolution,4,2,-0.25,1.99,1.9100000000000001,+3,2.02,1.8599999999999999
