date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2020-09-07 02:00:00,Seattle Sounders,Portland Timbers,1,2,-0.5,1.97,1.93,3.0,1.83,2.05,1.9120814226493543,1.395952398974201
2020-09-07 02:30:00,Los Angeles Galaxy,Los Angeles FC,3,0,0.75,1.86,2.04,3.75,1.83,2.06,1.7134583095955505,2.3987632342553016
2020-09-10 00:00:00,Club de Foot Montreal,Toronto FC,1,2,0.5,2.03,1.86,2.75,1.88,1.98,1.1876335239709725,1.821788462423188
2020-09-10 00:00:00,Minnesota United,FC Dallas,3,2,-0.75,1.94,1.94,3.0,1.93,1.93,1.994486042483719,1.1997404646958316
2020-09-10 00:00:00,Inter Miami,Atlanta Utd,2,1,-0.5,1.94,1.94,2.25,1.82,2.06,1.5590729682988618,1.0058899056458352
2020-09-10 01:00:00,Colorado Rapids,Houston Dynamo,1,1,-0.25,1.89,1.99,2.75,1.85,2.02,1.682549531045444,1.3566198826413878
2020-09-10 01:30:00,Real Salt Lake,Los Angeles FC,3,0,0.0,1.91,1.98,3.25,1.95,1.92,1.7372904682872832,1.7063407070709293
2020-09-11 02:00:00,Seattle Sounders,San Jose Earthquakes,7,1,-1.0,1.93,1.95,3.25,1.92,1.95,2.2685463659699634,1.2000903957962028
2020-09-12 19:30:00,Chicago Fire,Columbus Crew,2,2,0.0,1.98,1.93,2.25,1.83,2.0700000000000003,1.2763428733082425,1.2949743379535834
2020-09-12 23:00:00,New York City,FC Cincinnati,2,1,-1.25,1.97,1.93,2.75,1.97,1.91,2.1148502496996064,0.7884577228889672
2020-09-12 23:00:00,DC United,New York Red Bulls,0,2,0.5,1.86,2.05,2.5,1.93,1.95,1.1371059049310945,1.5924935301777976
2020-09-12 23:30:00,Philadelphia Union,New England Revolution,2,1,-0.25,2.01,1.9,2.75,1.91,1.98,1.6058999943600771,1.3795935314905379
2020-09-12 23:30:00,Orlando City,Inter Miami,2,1,-0.25,1.87,2.05,2.5,1.88,2.01,1.5734738796808032,1.2103334801276588
2020-09-13 00:30:00,Nashville SC,Atlanta Utd,4,2,-0.5,2.1,1.83,2.25,1.97,1.92,1.4272439693459151,0.9986368001402889
2020-09-13 00:30:00,FC Dallas,Houston Dynamo,2,1,-0.25,2.08,1.84,3.0,2.0,1.88,1.6507631250539672,1.4903191849136561
2020-09-13 01:30:00,Real Salt Lake,Colorado Rapids,0,5,-0.25,1.96,1.94,2.75,1.9,1.98,1.6296714781082315,1.3608901372913336
2020-09-14 00:30:00,Sporting Kansas City,Minnesota United,1,0,-1.25,2.04,1.87,3.25,1.89,1.99,2.3741168000120187,1.1331896314138885
2020-09-14 01:30:00,Vancouver Whitecaps,Club de Foot Montreal,2,4,0.25,1.95,1.95,2.75,2.02,1.88,1.2987693070117525,1.5791410130345325
2020-09-14 03:00:00,San Jose Earthquakes,Los Angeles Galaxy,0,0,0.25,1.9,2.0,3.5,2.01,1.88,1.7075949158784924,1.928256804752844
2020-09-14 03:00:00,Los Angeles FC,Portland Timbers,4,2,-1.25,1.91,1.99,3.75,2.0,1.88,2.6191053732253096,1.2520930664920427
2020-09-17 00:30:00,FC Dallas,Colorado Rapids,4,1,-0.25,1.9,2.0,3.0,1.98,1.91,1.7448562946820803,1.419561356642531
2020-09-17 01:30:00,Vancouver Whitecaps,Club de Foot Montreal,3,1,0.5,1.86,2.05,2.75,1.85,2.04,1.3068335441289582,1.750215332389204
2020-09-17 01:30:00,San Jose Earthquakes,Portland Timbers,1,1,0.0,1.92,1.99,3.25,2.02,1.88,1.7053986985893055,1.6749516018397577
2020-09-19 02:00:00,Seattle Sounders,Los Angeles FC,3,0,0.0,1.92,1.99,3.5,1.88,2.02,1.9224589231162417,1.8898219186436622
2020-09-19 19:30:00,Sporting Kansas City,FC Dallas,2,3,-1.0,2.0,1.9,3.0,2.0,1.89,2.0800439720618034,1.0578855892767516
2020-09-19 20:30:00,New England Revolution,New York City,0,0,0.25,1.83,2.1,3.0,2.02,1.88,1.4932999331444434,1.640645523814212
2020-09-19 23:00:00,New York Red Bulls,FC Cincinnati,0,1,-0.75,1.97,1.93,2.5,2.04,1.85,1.695134730763215,0.9073082776801458
2020-09-19 23:00:00,Atlanta Utd,Inter Miami,1,2,0.25,2.06,1.85,2.25,1.92,1.97,1.0522380627963268,1.429037495226268
2020-09-19 23:30:00,Orlando City,Chicago Fire,4,1,-0.75,1.95,1.95,3.0,1.83,2.0700000000000003,2.0535947287176377,1.2606029903902425
2020-09-19 23:30:00,DC United,Toronto FC,2,2,1.0,1.87,2.04,2.75,1.92,1.97,0.9910861285565058,1.9925927206188336
2020-09-19 23:30:00,Columbus Crew,Nashville SC,2,0,-0.75,2.09,1.83,2.5,2.08,1.83,1.6311558982721175,0.9408689970073353
2020-09-20 00:00:00,Houston Dynamo,Minnesota United,2,2,-0.5,2.06,1.85,3.25,2.0,1.89,1.9070764637876594,1.4871846768366885
2020-09-20 01:30:00,Real Salt Lake,Vancouver Whitecaps,1,2,-1.25,2.06,1.86,3.0,1.91,1.98,2.229818291077856,0.9936476894049743
2020-09-20 02:30:00,San Jose Earthquakes,Portland Timbers,1,6,0.0,1.81,2.12,3.25,2.06,1.83,1.730910858432111,1.597034672744333
2020-09-20 02:30:00,Los Angeles Galaxy,Colorado Rapids,0,2,-0.5,2.0700000000000003,1.83,3.25,1.98,1.9,1.9069083219174443,1.5046446723670166
2020-09-20 23:00:00,Club de Foot Montreal,Philadelphia Union,1,4,0.25,2.09,1.83,2.75,1.9,1.98,1.2974962596201443,1.6991070943487765
2020-09-23 21:00:00,New England Revolution,Club de Foot Montreal,3,1,-1.0,2.08,1.84,3.0,1.95,1.93,2.0715057553967355,1.1109966115883414
2020-09-23 23:00:00,Atlanta Utd,FC Dallas,1,0,0.0,2.03,1.88,2.75,2.0,1.89,1.416042567496547,1.475898292694104
2020-09-23 23:00:00,New York City,Toronto FC,0,1,-0.25,2.12,1.81,3.0,1.98,1.9,1.643686621482413,1.5174303576278252
2020-09-23 23:30:00,Columbus Crew,Minnesota United,2,1,-1.0,1.97,1.93,2.75,1.83,2.0700000000000003,2.0583795607757973,1.0086803607676886
2020-09-23 23:30:00,FC Cincinnati,Philadelphia Union,0,0,0.25,1.86,2.05,2.5,1.96,1.93,1.2510177841837122,1.4486426837375495
2020-09-23 23:30:00,Sporting Kansas City,Orlando City,1,2,-0.75,2.03,1.88,3.0,1.85,2.05,2.0062875051741376,1.288588216205306
2020-09-23 23:30:00,Chicago Fire,Houston Dynamo,4,0,-0.5,2.01,1.89,3.0,1.83,2.0700000000000003,1.8949645232546466,1.4232200266276769
2020-09-24 00:00:00,Inter Miami,New York Red Bulls,1,4,-0.75,1.91,2.0,2.5,1.94,1.94,1.7749719208421075,0.9301649131429292
2020-09-24 00:30:00,Nashville SC,DC United,1,0,-0.5,2.0700000000000003,1.85,2.25,1.95,1.93,1.4456534318025664,0.9941780908209091
2020-09-24 01:00:00,Colorado Rapids,San Jose Earthquakes,5,0,-1.25,2.09,1.83,3.25,1.9,1.98,2.3453399980102296,1.150849612086844
2020-09-24 01:30:00,Real Salt Lake,Los Angeles Galaxy,2,0,-0.25,1.97,1.93,3.0,2.01,1.88,1.696361011103625,1.4391582538945797
2020-09-24 02:00:00,Portland Timbers,Seattle Sounders,1,0,0.25,1.82,2.1,3.0,1.85,2.04,1.581110848582624,1.718091206229817
2020-09-24 02:30:00,Los Angeles FC,Vancouver Whitecaps,6,0,-2.5,1.94,1.96,4.25,2.0,1.89,3.5001362103226734,0.8705052657987944
2020-09-26 19:30:00,Nashville SC,Houston Dynamo,1,1,-0.25,1.94,1.96,2.25,1.84,2.06,1.4255345591740032,1.1323433043271691
2020-09-26 23:00:00,New York City,FC Cincinnati,4,0,-1.0,1.95,1.95,2.5,1.91,1.98,1.9074206723162614,0.8332589399371411
2020-09-27 23:00:00,New York Red Bulls,Club de Foot Montreal,4,1,-1.0,1.99,1.92,3.0,1.97,1.92,2.1007293653543315,1.0662776954785842
2020-09-27 23:00:00,DC United,New England Revolution,0,2,0.5,1.89,2.01,2.5,1.88,2.01,1.1518467472558223,1.6401964677910361
2020-09-27 23:30:00,Toronto FC,Columbus Crew,3,1,0.0,1.83,2.1,2.75,2.0700000000000003,1.83,1.464075825292431,1.3585472623684895
2020-09-27 23:30:00,Chicago Fire,Atlanta Utd,2,0,-1.0,1.99,1.92,2.75,1.88,2.0,2.0207177557948577,0.9820293578767543
2020-09-28 00:00:00,Minnesota United,Real Salt Lake,0,0,-0.5,1.89,2.02,3.0,1.96,1.93,1.8959482186963823,1.285461171806443
